ATU_Number,Title,Category,Subsection,Status,Exemplar_Tales,Sources,Notes
1046-1049,,Stupid Ogre,Partnership Between Man and Ogre,unassigned,,,
1050,Felling Trees,Stupid Ogre,Partnership Between Man and Ogre,active,—,Claude (model knowledge),
1051,Springing a Tree,Stupid Ogre,Partnership Between Man and Ogre,active,"""Das tapfere Schneiderlein"" / ""The Brave Little Tailor"" partial (Grimm KHM 20, overlap with 1640)",Claude (model knowledge),
1052,Deceptive Contest in Carrying a Tree (Horse),Stupid Ogre,Partnership Between Man and Ogre,active,"""The Brave Little Tailor"" partial (Grimm KHM 20)",Claude (model knowledge),
1053-1059,,Stupid Ogre,Partnership Between Man and Ogre,unassigned,,,
1060,Squeezing the (Supposed) Stone,Stupid Ogre,Contest Between Man and Ogre,active,"""Das tapfere Schneiderlein"" / ""The Brave Little Tailor"" (Grimm KHM 20); ""The Valiant Little Tailor"" tradition; ""Jack the Giant Killer"" (English)",Claude (model knowledge),Tailor squeezes cheese while pretending it's a stone; deceives giant with fake strength.
1061,Biting Stones,Stupid Ogre,Contest Between Man and Ogre,active,—,Claude (model knowledge),
1062,Throwing a Stone,Stupid Ogre,Contest Between Man and Ogre,active,"""The Brave Little Tailor"" (Grimm KHM 20, partial)",Claude (model knowledge),
1063,Throwing Contest with a Golden Club,Stupid Ogre,Contest Between Man and Ogre,active,—,Claude (model knowledge),
1064,,Stupid Ogre,Contest Between Man and Ogre,unassigned,,,
1065-1070,,Stupid Ogre,Contest Between Man and Ogre,unassigned,,,
1071,Wrestling Match with the Bear,Stupid Ogre,Contest Between Man and Ogre,active,"""The Brave Little Tailor"" (Grimm KHM 20, partial)",Claude (model knowledge),
1072,Race with the Hare,Stupid Ogre,Contest Between Man and Ogre,active,—,Claude (model knowledge),Distinct from the Hare and Tortoise (ATU 275) despite thematic overlap.
1073,,Stupid Ogre,Contest Between Man and Ogre,unassigned,,,
1074,Race Won by Deception (The Hedgehog and the Hare),Stupid Ogre,Contest Between Man and Ogre,active,"""Der Hase und der Igel"" / ""The Hare and the Hedgehog"" (Grimm KHM 187)",Claude (model knowledge),
1075-1083,,Stupid Ogre,Contest Between Man and Ogre,unassigned,,,
1084,,Stupid Ogre,Contest Between Man and Ogre,unassigned,,,
1085,Pushing a Hole in a Tree,Stupid Ogre,Contest Between Man and Ogre,active,—,Claude (model knowledge),
1086,,Stupid Ogre,Contest Between Man and Ogre,unassigned,,,
1087,Rowing Contest,Stupid Ogre,Contest Between Man and Ogre,active,—,Claude (model knowledge),
1088,Eating Contest,Stupid Ogre,Contest Between Man and Ogre,active,"""The Brave Little Tailor"" partial; bag-hidden-in-clothing motif",Claude (model knowledge),
1089,,Stupid Ogre,Contest Between Man and Ogre,unassigned,,,
1090,Mowing Contest,Stupid Ogre,Contest Between Man and Ogre,active,—,Claude (model knowledge),
1091,Who Can Bring an Unheard-of Riding-Horse?,Stupid Ogre,Contest Between Man and Ogre,active,"""Die Kluge Antwort"" tradition; peasant-rides-pig to king variants",Claude (model knowledge),
1092-1093,,Stupid Ogre,Contest Between Man and Ogre,unassigned,,,
1094,Contest in Smoke-Blowing,Stupid Ogre,Contest Between Man and Ogre,active,—,Claude (model knowledge),
1095,Scratching With the Long Fingernails,Stupid Ogre,Contest Between Man and Ogre,active,—,Claude (model knowledge),
1096,The Tailor and the Ogre in a Sewing Contest,Stupid Ogre,Contest Between Man and Ogre,active,—,Claude (model knowledge),
1097-1114,,Stupid Ogre,Contest Between Man and Ogre,unassigned,,,
1115,Attempted Murder with Hatchet,Stupid Ogre,Man Kills (Injures) Ogre,active,"""The Brave Little Tailor"" (Grimm KHM 20); ""Jack the Giant Killer"" variants",Claude (model knowledge),
1116,Attempted Burning,Stupid Ogre,Man Kills (Injures) Ogre,active,—,Claude (model knowledge),
1117,The Ogre's Pitfall,Stupid Ogre,Man Kills (Injures) Ogre,active,—,Claude (model knowledge),
1118,,Stupid Ogre,Man Kills (Injures) Ogre,unassigned,,,
1119,The Ogre Kills His Own Children,Stupid Ogre,Man Kills (Injures) Ogre,active,"""Hansel and Gretel"" partial (327A); ""Le Petit Poucet"" / ""Hop o' My Thumb"" (Perrault, partial overlap with 327B) — ogre's daughters killed by mistake",Claude (model knowledge),
1120,The Ogre's Wife Thrown into the Water,Stupid Ogre,Man Kills (Injures) Ogre,active,—,Claude (model knowledge),
1121,Ogre's Wife Burned in Her Own Oven,Stupid Ogre,Man Kills (Injures) Ogre,active,"""Hansel and Gretel"" (Grimm KHM 15, central motif)",Claude (model knowledge),
1122,Ogre's Wife Killed Through Other Tricks,Stupid Ogre,Man Kills (Injures) Ogre,active,—,Claude (model knowledge),
1123,Stones (Hot Porridge) Dropped into the Ogre's Throat,Stupid Ogre,Man Kills (Injures) Ogre,active,—,Claude (model knowledge),
1124-1129,,Stupid Ogre,Man Kills (Injures) Ogre,unassigned,,,
1130,Counting Out Pay (Money in the Hat),Stupid Ogre,Man Kills (Injures) Ogre,active,—,Claude (model knowledge),
1131,The Hot Porridge in the Ogre's Throat,Stupid Ogre,Man Kills (Injures) Ogre,active,—,Claude (model knowledge),
1132,Flight of the Ogre with the Would-Be Thieves,Stupid Ogre,Man Kills (Injures) Ogre,active,—,Claude (model knowledge),
1133,Making the Ogre Strong: Castration,Stupid Ogre,Man Kills (Injures) Ogre,active,"Polyphemus analogue in the Odyssey (Book 9, literary antecedent); ""No-Man"" / ""Outis"" deception",Claude (model knowledge),
1134-1136,,Stupid Ogre,Man Kills (Injures) Ogre,unassigned,,,
1137,The Blinded Ogre (Polyphemus),Stupid Ogre,Man Kills (Injures) Ogre,active,"""The Odyssey"" Book 9 — Odysseus and Polyphemus (Homer, 8th c. BCE, literary antecedent); Georgian ""The One-Eyed Ogre""; Caucasian ""Devi"" tales; Armenian variants",Claude (model knowledge),One of the oldest attested tale types in European tradition; Homeric antecedent.
1138-1144,,Stupid Ogre,Man Kills (Injures) Ogre,unassigned,,,
1145,The Ogre Frightened by Threats,Stupid Ogre,Ogre Frightened by Man,active,—,Claude (model knowledge),
1146,Capturing the Ogre,Stupid Ogre,Ogre Frightened by Man,active,—,Claude (model knowledge),
1147,Man Frightens Ogre with Lightning and Thunder,Stupid Ogre,Ogre Frightened by Man,active,—,Claude (model knowledge),
1148,Thunder Instrument Disturbs the Ogre,Stupid Ogre,Ogre Frightened by Man,active,—,Claude (model knowledge),
1149,Children Desire the Ogre's Flesh,Stupid Ogre,Ogre Frightened by Man,active,—,Claude (model knowledge),
1150-1154,,Stupid Ogre,Ogre Frightened by Man,unassigned,,,
1155,Blinding the Ogre,Stupid Ogre,Man Outwits the Devil,active,Polyphemus-type overlap (1137),Claude (model knowledge),
1156,The Gun Barrel Bent (False Musket),Stupid Ogre,Man Outwits the Devil,active,—,Claude (model knowledge),
1157,The Gun as Tobacco Pipe,Stupid Ogre,Man Outwits the Devil,active,—,Claude (model knowledge),
1158,The Ogre Wants to Look Through the Gun Barrel at a White Spot,Stupid Ogre,Man Outwits the Devil,active,—,Claude (model knowledge),
1159,The Ogre Cured by a Doctor,Stupid Ogre,Man Outwits the Devil,active,—,Claude (model knowledge),
1160,The Ogre in the Haunted House,Stupid Ogre,Man Outwits the Devil,active,"""Der junge Riese"" partial; Scottish 'bogle-in-the-mill' tradition",Claude (model knowledge),
1161,The Bear Trainer and His Bear,Stupid Ogre,Man Outwits the Devil,active,"""Der Bärenhäuter"" partial; overlap with 1159 and 1160",Claude (model knowledge),
1162,The Ogre Frightened by the Pupils (Dragging the Plow),Stupid Ogre,Man Outwits the Devil,active,—,Claude (model knowledge),
1163,,Stupid Ogre,Man Outwits the Devil,unassigned,,,
1164,The Evil Woman Thrown Into the Pit (Belphegor),Stupid Ogre,Man Outwits the Devil,active,"""Belphegor"" (Machiavelli, novella, 1520s, literary); ""The Devil Who Married a Shrew"" tradition; ""The Devil Visits Hell"" variants",Claude (model knowledge),A shrew-wife so fearsome that the devil himself flees her; influenced literary Belphegor tradition.
1165,The Ogre and the Storm,Stupid Ogre,Man Outwits the Devil,active,—,Claude (model knowledge),
1166,Yoking the Ogre,Stupid Ogre,Man Outwits the Devil,active,—,Claude (model knowledge),
1167,The Ogre Pulled into a Castrated Horse,Stupid Ogre,Man Outwits the Devil,active,—,Claude (model knowledge),
1168,Exorcising the Devil,Stupid Ogre,Man Outwits the Devil,active,—,Claude (model knowledge),
1169,,Stupid Ogre,Man Outwits the Devil,unassigned,,,
1170,A Man Sells His Soul to the Devil,Stupid Ogre,Souls Saved from the Devil,active,"Faustian-pact tales (overlap with 756B); ""The Soldier and the Devil"" variants",Claude (model knowledge),
1171,The Devil's Contract,Stupid Ogre,Souls Saved from the Devil,active,"Overlap with 756B; ""Soldier-outwits-devil"" tales widespread in European tradition",Claude (model knowledge),
1172,Impossible Tasks Set for the Devil,Stupid Ogre,Souls Saved from the Devil,active,"""Der Teufel und seine Großmutter"" / ""The Devil and His Grandmother"" (Grimm KHM 125)",Claude (model knowledge),
1173,The Devil Invoked Must Remain Until the Last Comes,Stupid Ogre,Souls Saved from the Devil,active,—,Claude (model knowledge),
1174,Making a Rope of Sand,Stupid Ogre,Souls Saved from the Devil,active,Medieval exempla 'rope of sand' impossible task,Claude (model knowledge),
1175,Straightening the Curly Hair,Stupid Ogre,Souls Saved from the Devil,active,—,Claude (model knowledge),
1176,Catching a Fart,Stupid Ogre,Souls Saved from the Devil,active,—,Claude (model knowledge),
1177,The Last Task: Breaking the Devil's Nose,Stupid Ogre,Souls Saved from the Devil,active,—,Claude (model knowledge),
1178,Grandmother-Devil Outwitted,Stupid Ogre,Souls Saved from the Devil,active,—,Claude (model knowledge),
1179,,Stupid Ogre,Souls Saved from the Devil,unassigned,,,
1180,Catching Water in a Sieve,Stupid Ogre,Souls Saved from the Devil,active,"""The Maiden and the Sieve"" tradition; Danaides in Greek myth (classical antecedent)",Claude (model knowledge),
1181,Counting the Stars (Counting Grains of Sand),Stupid Ogre,Souls Saved from the Devil,active,—,Claude (model knowledge),
1182,,Stupid Ogre,Souls Saved from the Devil,unassigned,,,
1183-1184,,Stupid Ogre,Souls Saved from the Devil,unassigned,,,
1185,The Devil as Soulsnatcher,Stupid Ogre,Souls Saved from the Devil,active,—,Claude (model knowledge),
1186,With His Whole Heart,Stupid Ogre,Souls Saved from the Devil,active,"""The Devil Takes the Lawyer"" / ""With His Whole Heart"" tradition; folk anecdote widespread in 19th-c. Europe",Claude (model knowledge),"Devil claims soul of person that onlooker says God can have 'with his whole heart,' etc.; verbal technicality saves/damns."
1187,Meleager,Stupid Ogre,Souls Saved from the Devil,active,"Greek myth of Meleager and the magical log (classical antecedent); ""The Three Spinners"" partial overlap (501)",Claude (model knowledge),
1188,,Stupid Ogre,Souls Saved from the Devil,unassigned,,,
1189-1199,,Stupid Ogre,Souls Saved from the Devil,unassigned,,,End of Tales of the Stupid Ogre category. Catalogue resumes at 1200 opening the Anecdotes and Jokes category.
1200,The Sowing of Salt,Anecdotes and Jokes,Stories about a Fool,active,"""The Wise Men of Gotham"" (English folk tradition, 16th c.); Schildbürger tales (German, 16th c.); Greek Abderite tradition",Claude (model knowledge),Foundational numskull tale; fools attempt to plant salt hoping for a harvest.
1201,The Plowing,Anecdotes and Jokes,Stories about a Fool,active,Schildbürger and Gotham analogues,Claude (model knowledge),
1202,Harvesting Grain,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1203,The Scythe Cuts Off the Reaper's Head,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1204,Foolish Man Bribed to Work,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1205,Lifting Men on a Pole,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1206,Clubbing Fish in the Water,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1207,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1208,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1209,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1210,The Cow is Taken to the Roof to Graze,Anecdotes and Jokes,Stories about a Fool,active,Schildbürger tales; Chelm (Eastern European Jewish) wise-fool tradition; Mullah Nasrudin analogues,Claude (model knowledge),Classic Chelm/Schildbürger fool-tale; grass grows on thatched roof so cow is hoisted up.
1211,The Peasant (His Wife) Thinks the Cow Chewing Her Cud is Mocking Him,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1212,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1213,The Pumpkin Sold as an Ass's Egg,Anecdotes and Jokes,Stories about a Fool,active,"""The Gothamite and the Cuckoo"" tradition; Mediterranean melon/pumpkin-as-egg numskull tale",Claude (model knowledge),
1214,The Greedy Wife,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1215,"The Miller, His Son, and the Ass",Anecdotes and Jokes,Stories about a Fool,active,"La Fontaine, ""Le Meunier, son fils, et l'âne"" (Fables III.1); ""The Man, the Boy, and the Donkey"" (Aesop's fables, Perry Index 721)",Claude (model knowledge),Famous 'can't please everyone' fable.
1216,The Deception of the Old Woman,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1217,Moonshine is Stolen,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1218,Fool as Hen Hatches Eggs,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1219,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1220-1224,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1225,The Man Without a Head in the Bear's Den,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1226,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1227,"One Woman to Catch the Squirrel, the Other to Get the Cooking Pot",Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1228,Shooting the Gun,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1229,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1230-1234,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1235,The Raft Made of Nuts,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1236-1239,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1240,Man Sitting on Branch of Tree Cuts it Off,Anecdotes and Jokes,Stories about a Fool,active,Widespread self-defeating-action tale; Mullah Nasrudin attribution in Middle Eastern tradition,Claude (model knowledge),
1241,The Tree is to be Pulled Down,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1242,Loading the Wood,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1243,The Wood is Carried Down the Hill,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1244,Trying to Stretch the Beam,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1245,Sunlight Carried in a Bag into the Windowless House,Anecdotes and Jokes,Stories about a Fool,active,"""The Wise Men of Gotham"" tradition; Chelm story tradition (Eastern European Jewish)",Claude (model knowledge),
1246,Flying the Windmill,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1247,Holding Up the Rock,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1248,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1249,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1250,Bringing Water from the Well,Anecdotes and Jokes,Stories about a Fool,active,Chain-of-fools variant; often paired with 1287 (Numskulls Unable to Count Their Own Number),Claude (model knowledge),
1251,Pushing Together Heaps of Grain,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1252,Measuring Depth of the Water,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1253,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1254,Trying to Drown the Fish,Anecdotes and Jokes,Stories about a Fool,active,"""Br'er Rabbit and the Briar Patch"" partial analogue (Uncle Remus); Punishing-creature-in-its-own-element tradition",Claude (model knowledge),
1255,Digging a Hole to Throw Earth Into,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1256,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1257-1259,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1260,Jumping into Milk,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1261,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1262,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1263,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1264,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1265,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1266-1269,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1270,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1271-1274,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1275,The Sleigh Track Lost,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1276,Rowing Without Going Forward,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1277,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1278,Marking the Place on the Boat,Anecdotes and Jokes,Stories about a Fool,active,"""The Wise Men of Gotham"" (English); Chelm tradition; Chinese ""Carving a Mark on the Boat to Find the Sword"" (analogous proverb-tale, Lüshi Chunqiu, 3rd c. BCE)",Claude (model knowledge),
1279,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1280,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1281,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,Parent number has no main type; only 1281A is attested.
1282,House Burned to Get Rid of a Fly (Mouse),Anecdotes and Jokes,Stories about a Fool,active,"""Burning down the house to kill a fly"" proverb tradition worldwide",Claude (model knowledge),
1283,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1284,Person Does Not Know Himself,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1285,Pulling Off the Shirt,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1286,Jumping into the Breeches,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1287,Numskulls Unable to Count Their Own Number,Anecdotes and Jokes,Stories about a Fool,active,"""The Wise Men of Gotham"" (English); Irish and Scottish 'forgetting to count oneself' tradition; Mullah Nasrudin",Claude (model knowledge),
1288,Numskulls Do Not Recognize Their Own Legs,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1289,Each Must Sleep in His Own Bed,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1290,Swimming in Flax Field,Anecdotes and Jokes,Stories about a Fool,active,"""The Wise Men of Gotham"" tradition",Claude (model knowledge),
1291,One Cheese Sent to Fetch Another,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1292,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1293,The Numskull Cannot Swim,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1293*,The Numskull Leaves the Bread Behind,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1294,Getting the Calf's Head Out of the Pot,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1295,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1296,Parent type (see lettered subtypes),Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),"Parent type number; specific attestations fall under lettered subtypes (e.g., 1296A, 1296B)."
1297,Parent type (see lettered subtypes),Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),"Parent type number; specific attestations fall under lettered subtypes (e.g., 1297A, 1297B)."
1297*,Jumping into the River After Their Comrade,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1298-1299,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1300-1309,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1310,Drowning the Crayfish as Punishment,Anecdotes and Jokes,Stories about a Fool,active,"""Br'er Rabbit and the Briar Patch"" (Joel Chandler Harris, Uncle Remus); widespread as trickster-escape tale",Claude (model knowledge),
1311,Parent type (see lettered subtypes),Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),"Parent type number; specific attestations fall under lettered subtypes (e.g., 1311A, 1311B)."
1312,The Month of May Comes After April,Anecdotes and Jokes,Stories about a Fool,active,—,Claude (model knowledge),
1313,The Man Who Thought Himself Dead,Anecdotes and Jokes,Stories about a Fool,active,Mullah Nasrudin analogues; Sholem Aleichem Chelm-story variants,Claude (model knowledge),
1314,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1315-1318,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1319,The Pumpkin as an Ass's Egg,Anecdotes and Jokes,Stories about a Fool,active,Overlap with 1213,Claude (model knowledge),
1320,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1321,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,Parent number has no main type; only 1321A is attested.
1322,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1323-1324,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1325,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1326,Moving the Church,Anecdotes and Jokes,Stories about a Fool,active,"""The Wise Men of Gotham"" (English chapbook tradition); Schildbürger tales",Claude (model knowledge),
1327-1329,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1330-1339,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,
1340-1349,,Anecdotes and Jokes,Stories about a Fool,unassigned,,,End of Stories about a Fool subsection.
1350,The Loving Wife,Anecdotes and Jokes,Stories about Married Couples,active,"""The Matron of Ephesus"" (Petronius, Satyricon 111-112, 1st c. CE, literary antecedent); ""The Widow of Ephesus"" tradition (grieving widow quickly consoled)",Claude (model knowledge),Widow's rapid consolation after husband's death; cynical take on marital fidelity.
1351,The Silence Wager,Anecdotes and Jokes,Stories about Married Couples,active,"""Das Schlaraffenland"" variants; ""The First to Speak"" tradition; Chaucer-era exempla",Claude (model knowledge),Spouses wager who will speak first; absurd events occur while both remain silent.
1352,The Shepherd Who Couldn't Count His Sheep,Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),
1353,The Woman as Trouble-Maker (The Old Woman Worse than the Devil),Anecdotes and Jokes,Stories about Married Couples,active,"Related to Belphegor tradition (1164); medieval misogynist exempla; ""The Devil and the Old Woman"" tradition",Claude (model knowledge),
1354,Couple to Die Together,Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),
1355,Parent type (see lettered subtypes),Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),"Parent type number; specific attestations fall under lettered subtypes (e.g., 1355A, 1355B)."
1356,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1357,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1358,Parent type (see lettered subtypes),Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),"Parent type number; specific attestations fall under lettered subtypes (e.g., 1358A, 1358B)."
1359,The Husband Outwits Adulteress and Lover,Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),
1360,Parent type (see lettered subtypes),Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),"Parent type number; specific attestations fall under lettered subtypes (e.g., 1360A, 1360B)."
1361,The Flood,Anecdotes and Jokes,Stories about Married Couples,active,"""The Miller's Tale"" (Chaucer, Canterbury Tales, literary descendant)",Claude (model knowledge),
1362,Parent type (see lettered subtypes),Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),"Parent type number; specific attestations fall under lettered subtypes (e.g., 1362A, 1362B)."
1363,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1364,The Blood-Brother's Wife,Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),
1365,The Obstinate Wife,Anecdotes and Jokes,Stories about Married Couples,active,"""Die Starrköpfigen"" tradition",Claude (model knowledge),Parent type for classic 'obstinate wife' tales.
1366-1369,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1370,The Lazy Wife,Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),
1371,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1372,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1373,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1374,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1375,Who Can Rule the Wife?,Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),
1376,Parent type (see lettered subtypes),Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),"Parent type number; specific attestations fall under lettered subtypes (e.g., 1376A, 1376B)."
1377,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1378,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1379*,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1379,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1380,The Faithless Wife,Anecdotes and Jokes,Stories about Married Couples,active,"""Der Bauer und sein Frau"" tradition; widespread trickster-husband-outwits-adulterous-wife tale",Claude (model knowledge),
1381,The Talkative Wife and the Discovered Treasure,Anecdotes and Jokes,Stories about Married Couples,active,"Persian Mullah Nasrudin tradition; ""The Treasure Trove"" widespread tale; 1001 Nights variants",Claude (model knowledge),
1382,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1383,The Woman Does Not Know Herself,Anecdotes and Jokes,Stories about Married Couples,active,Schildbürger tradition; overlap with 1284,Claude (model knowledge),
1384,The Husband Hunts Three Persons as Stupid as His Wife,Anecdotes and Jokes,Stories about Married Couples,active,"""The Three Sillies"" (English, Jacobs); ""The Pack of Ridiculous Men"" tradition; ""Those Three"" variants",Claude (model knowledge),
1385,Parent type (see lettered subtypes),Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),"Parent type number; specific attestations fall under lettered subtypes (e.g., 1385A, 1385B)."
1385*,The Woman Who Lost the Husband's Money,Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),
1386,Meat as Food for Cabbage,Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),
1387,A Woman Draws Beer in the Cellar,Anecdotes and Jokes,Stories about Married Couples,active,"""The Three Sillies"" (English, Jacobs — embedded tale)",Claude (model knowledge),
1388-1389,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1390-1394,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1395-1399,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1400-1404,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1405,The Lazy Spinner,Anecdotes and Jokes,Stories about Married Couples,active,"""Die faule Spinnerin"" / ""The Lazy Spinner"" (Grimm KHM 128)",Claude (model knowledge),
1406,The Merry Wives' Wager,Anecdotes and Jokes,Stories about Married Couples,active,Decameron-style wife-wager fabliaux,Claude (model knowledge),
1407,The Miserly Wife,Anecdotes and Jokes,Stories about Married Couples,active,—,Claude (model knowledge),
1408,The Man Who Does His Wife's Work,Anecdotes and Jokes,Stories about Married Couples,active,"""Der Mann der das Hausgeschäft tun soll"" / ""The Husband Who Was to Mind the House"" (Asbjørnsen & Moe)",Claude (model knowledge),Husband takes on wife's domestic tasks with disastrous results.
1409,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1410-1414,,Anecdotes and Jokes,Stories about Married Couples,unassigned,,,
1415,Lucky Hans (Trading Away One's Fortune),Anecdotes and Jokes,Stories about Married Couples,active,"""Hans im Glück"" / ""Hans in Luck"" (Grimm KHM 83)",Claude (model knowledge),
